Year,Afghanistan,Bosnia and Herzegovina,Cambodia,Croatia,"Egypt, Arab Rep.",World
1999,1766.28,2455.3,4684.62,1550.64,2680,4943.04
2000,1662,2448.19,4652.39,1517.66,2680,4937.23
2001,1565.05,2442.64,4630.5,1475.31,2680,4919.9
2002,1460.75,2436.64,4595.6,1414.92,2680,4715.12
2003,1390.68,2379.2,4553.9,1130.39,2680,4648.02
2004,1299.67,2372.59,4521.9,1096.71,2680,4407.93
2005,1144.16,2149.59,4395.9,1069.2,2680,4288.2
2006,977.04,1910.3,4041,1044,2680,3973.81
2007,722,1738,3446,997,2680,3566.37
